                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
3388   67713900   EMBARCACION DE REMOS DE RECREO                          Unidad
3389   67714050   EMBARCACION DEPORTIVA Y DE RECREO FLUVIAL               Unidad
3390   67714200   EMBARCACION PARA EXTINCION DE INCENDIOS                 Unidad
3391   67714350   EMPUJADOR                                               Unidad
3392   67714500   GABARRA                                                 Unidad
3393   67714650   GANGUIL                                                 Unidad
3394   67714800   GRIFO FLOTANTE                                          Unidad
3395   67714950   GRUA FLOTANTE                                           Unidad
3396   67715100   HIDRODESLIZADOR/AERODESLIZADOR - HYDROFOIL/HOVERCRAFT   Unidad
3397   67715250   LANCHA                                                  Unidad
3398   67715400   LANCHA MOTORA DE RECREO                                 Unidad
3399   67715550   MOTOCHATA                                               Unidad
3400   67715700   MOTONAUTICA                                             Unidad
3401   67715850   MOTONAVE DE CARGA/PASAJEROS                             Unidad
3402   67716000   MOTONAVE DE PASAJEROS                                   Unidad
3403   67716150   NAVE CIENTIFICA                                         Unidad
3404   67716300   NAVE DE CARGA DE CARGA RODANTE - ROLL ON/ROLL OFF       Unidad
3405   67716450   NAVE DE CARGA DE CONTENEDORES                           Unidad
3406   67716600   NAVE DE CARGA DE PRODUCTOS QUIMICOS                     Unidad
3407   67716750   NAVE DE CARGA EN GENERAL                                Unidad
3408   67716900   NAVE DE CARGA FRIGORIFICA                               Unidad
3409   67717050   NAVE DE CARGA GASERA                                    Unidad
3410   67717200   NAVE DE CARGA GRANELERA                                 Unidad
3411   67717350   NAVE DE CARGA METALERA                                  Unidad
3412   67717500   NAVE DE CARGA METALERA/PETROLERA - OBO                  Unidad
3413   67717650   NAVE DE CARGA PETROLERA                                 Unidad
3414   67717800   NAVE DE CARGA/PASAJEROS                                 Unidad
3415   67717950   NAVE HIDROGRAFICA                                       Unidad
3416   67718100   NAVE HOSPITAL                                           Unidad
3417   67718250   NAVE MULTIPROPOSITO                                     Unidad
3418   67718400   NAVE REMOLCADOR                                         Unidad
3419   67718550   PANGA AUTOPROPULSADA                                    Unidad
3420   67718700   PLATAFORMA FLOTANTE                                     Unidad
3421   67718850   PONTON                                                  Unidad
3422   67719000   VELERO DE DEPORTE Y/O RECREO                            Unidad
3423   67719300   YATE DE DEPORTE Y/O RECREO                              Unidad

GRUPO GENÉRICO    67: MAQUINARIA, VEHÍCULOS Y OTROS
CLASE             82: VEHÍCULO

 N°    CÓDIGO                                          DENOMINACIÓN       UNIDAD
3424   67820001   TRIMOTO ELECTRICA                                          Unidad
3425   67820050   AMBULANCIA                                                 Unidad
3426   67820275   AUTOHORMIGONERA                                            Unidad
3427   67820500   AUTOMOVIL                                                  Unidad
3428   67820949   CARRITO ALEGORICO                                          Unidad
3429   67820950   CAMION (OTROS)                                             Unidad
3430   67821400   CAMION CISTERNA                                            Unidad
3431   67821625   CAMION COMPACTADOR DE BASURA                               Unidad
3432   67821850   CAMION DE BOMBERO                                          Unidad
3433   67822300   CAMION FURGON                                              Unidad
3434   67822750   CAMION GRUA                                                Unidad
3435   67823200   CAMION IMPRIMADOR                                          Unidad
3436   67823650   CAMION REMOLCADOR                                          Unidad
3437   67824100   CAMION TRANSPORTADOR DE CONCRETO                           Unidad
3438   67824550   CAMION VOLQUETE                                            Unidad
3439   67825000   CAMIONETA                                                  Unidad
3440   67825150   CARRO MARCADOR DE LINEAS PARA CAMPOS O PISTAS              Unidad
3441   67825300   CARROZA                                                    Unidad
3442   67825337   CUATRIMOTO                                                 Unidad
3443   67825375   DUMPER                                                     Unidad
3444   67825450   FURGONETA                                                  Unidad
3445   67825675   GRUA PLATAFORMA ELEVADORA - ELEVADORA DE PLATAFORMA        Unidad
3446   67825900   MICROBUS                                                   Unidad
3447   67826125   MINIBUS                                                    Unidad
3448   67826170   MINICARGADOR FRONTAL                                       Unidad
3449   67826215   MINICOMPACTADOR                                            Unidad
3450   67826260   MINIEXCAVADORA                                             Unidad
3451   67826305   MINIRETROEXCAVADORA                                        Unidad
3452   67826350   MONTACARGA                                                 Unidad
3453   67826800   MOTOCICLETA                                                Unidad
3454   67827250   MOTOFURGON                                                 Unidad
3455   67827700   MOTONETA                                                   Unidad
3456   67828150   MOTOCAR                                                    Unidad
3457   67828600   OMNIBUS                                                    Unidad
3458   67828712   REMOLQUE                                                   Unidad
3459   67828768   ROMPEDORA DE CONCRETO - ROMPEDORA DE PAVIMENTO             Unidad
3460   67828825   SEMIREMOLQUE                                               Unidad
3461   67829050   TRAYLER                                                    Unidad
3462   67829500   TRICICLO                                                   Unidad
3463   67829725   TRIMOTO DE CARGA                                           Unidad
3464   67829945   VEHICULO UTILITARIO                                        Unidad
3465   67829950   VOLQUETE                                                   Unidad

GRUPO GENÉRICO    74: OFICINA
CLASE             08: CÓMPUTO

 N°     CÓDIGO                                           DENOMINACIÓN        UNIDAD
3466   74080001   IMPRESORA DE CHEQUES                                       Unidad
3467   74080002   AURICULAR CON SENSOR DE ONDAS CEREBRALES                   Unidad
3468   74080025   AUTO RESTART                                               Unidad
3469   74080028   ADAPTADOR INALAMBRICO PARA RED                             Unidad
3470   74080029   BALANCEADOR DE CARGA DE RED - LOAD BALANCING               Unidad
3471   74080030   BASE PARA DISCOS DUROS                                     Unidad
3472   74080031   CAJA COMPARTIDORA DE INTERNET - INTERNET SHARING BOX ISB   Unidad
3473   74080037   CAJERO AUTOMATICO                                          Unidad
3474   74080050   CAPTURADOR DE IMAGEN - SCANNER                             Unidad
3475   74080162   CHASIS PARA SERVIDORES TIPO HOJA/ULTRADELGADOS             Unidad
3476   74080218   CLIENTE LIVIANO                                            Unidad
3477   74080275   COMPUTADORA DE MANO - WORKPAD                              Unidad
3478   74080500   COMPUTADORA PERSONAL PORTATIL                              Unidad
3479   74080950   COMPUTADORA SERVIDOR - MAIN FRAME                          Unidad
3480   74081512   CONMUTADOR DE VIDEO, TECLADO Y MOUSE                       Unidad
3481   74081540   CONSOLA MULTIPLEXOR KVM                                    Unidad
3482   74081568   CONTROLADOR PARA DUPLICADORA                               Unidad
3483   74081569   CONTROLADOR PARA REALIDAD VIRTUAL POR MOVIMIENTO MANUAL    Unidad
3484   74081625   CONVERTIDOR DE SEÑAL                                       Unidad
3485   74081850   DISCO DURO EXTERNO                                         Unidad
3486   74082300   DISQUETERA EXTERNA                                         Unidad
3487   74082450   DUPLICADOR DE PUERTOS                                      Unidad
3488   74082459   DUPLICADOR DE USB                                          Unidad
3489   74082468   DUPLICADORA DE DISQUETES                                   Unidad
3490   74082487   EQUIPO DE AUTOSERVICIO                                     Unidad
3491   74082580   EQUIPO DE CONTROL DE ACCESO                                Unidad
3492   74082600   EQUIPO DE CONTROL DE ACCESO BIOMETRICO                     Unidad
3493   74082618   EQUIPO DE CONTROL DE MANDO PARA MAQUINAS                   Unidad
3494   74082637   EQUIPO MANEJADOR DE VOZ - CONMUTADOR DE VOZ                Unidad
3495   74082646   EQUIPO PARA FIRMA ELECTRONICA - PAD PARA FIRMA             Unidad
3496   74082656   EQUIPO PARA MOSTRAR DATOS - DATA DISPLAY                   Unidad
3497   74082657   EQUIPO PARA OBTENCION DE DATOS CEREBRALES                  Unidad
3498   74082675   ESTACION GRAFICA                                           Unidad
3499   74082712   FRAD DE DATOS MULTIPROTOCOLO                               Unidad
3500   74082750   GRABADORA DE DISCO COMPACTO (CD ROM)                       Unidad
3501   74083200   IMPRESORA (OTRAS)                                          Unidad
3502   74083650   IMPRESORA A INYECCION DE TINTA                             Unidad
3503   74083762   IMPRESORA BRAILLE                                          Unidad
3504   74083875   IMPRESORA DE CODIGO DE BARRAS                              Unidad
3505   74083987   IMPRESORA DE DISCOS COMPACTOS                              Unidad
3506   74084043   IMPRESORA DE ETIQUETA - IMPRESORA DE TICKET                Unidad
3507   74084100   IMPRESORA LASER                                            Unidad
3508   74084325   IMPRESORA LED                                              Unidad
3509   74084550   IMPRESORA MATRIZ DE PUNTO                                  Unidad
3510   74084775   IMPRESORA PARA FOTOGRAFIAS DIGITALES                       Unidad
3511   74085000   IMPRESORA PARA PLANOS - PLOTTERS                           Unidad
3512   74085112   IMPRESORA TERMICA DE PULSERAS                              Unidad
3513   74085225   KIOSCO MULTIMEDIA                                          Unidad
3514   74085450   LAPIZ OPTICO                                               Unidad
3515   74085675   LECTOR GRABADOR DE TARJETAS DE MEMORIA                     Unidad
3516   74085900   LECTORA DE CINTA MAGNETICA                                 Unidad
3517   74086350   LECTORA DE CODIGO DE BARRAS                                Unidad
3518   74086575   LECTORA DE CODIGO OACI                                     Unidad
3519   74086800   LECTORA DE DISCO COMPACTO EXTERNO PARA COMPUTO - CD ROM    Unidad
3520   74086912   LECTORA DE MARCAS OPTICAS - OMR SCANNER                    Unidad
3521   74087025   LECTORA DE TARJETA CON CINTA MAGNETICA                     Unidad
3522   74087053   LECTORA DE TARJETA CON CODIGO DE BARRA                     Unidad
3523   74087081   LECTORA DE TARJETA DE PROXIMIDAD                           Unidad
3524   74087095   LECTORA DE TARJETA INTELIGENTE                             Unidad
3525   74087109   LECTORA GRABADORA DE DISCOS OPTICOS                        Unidad
3526   74087123   LENTES DE REALIDAD VIRTUAL                                 Unidad
3527   74087137   MAQUINA DOCK                                               Unidad
3528   74087193   MAQUINA EMBOZADORA Y MAGNETIZADORA                         Unidad
3529   74087221   MEMORIA DIGITAL USB (MAYOR A 1/4 UIT)                      Unidad
3530   74087250   MODEM EXTERNO                                              Unidad
3531   74087700   MONITOR A COLOR                                            Unidad
3532   74087812   MONITOR CON DRIVE INCORPORADO                              Unidad
3533   74087868   MONITOR CON PROCESADOR INTEGRADO                           Unidad
3534   74087925   MONITOR CON TECLADO INCORPORADO                            Unidad
3535   74087981   MONITOR LCD TACTIL - MONITOR TOUCH SCREEN                  Unidad
3536   74088037   MONITOR LED                                                Unidad
3537   74088150   MONITOR MONOCROMATICO                                      Unidad
3538   74088187   MONITOR PLANO                                              Unidad
3539   74088224   MOUSE INALAMBRICO                                          Unidad
3540   74088243   ORGANIZADOR DE CD/DVD - ARCHIVADOR ELECTRONICO DE DISCOS   Unidad
3541   74088252   PANEL DE FIRMA DIGITAL - DIGITALIZADOR DE FIRMAS           Unidad
3542   74088262   PANTALLA DE TOQUE EXTERNA - TOUCH SCREEN FLAT              Unidad
3543   74088825   REPETIDOR MULTIPUERTO                                      Unidad
3544   74089125   SCANNER DE PELICULAS                                       Unidad
3545   74089162   SCANNER PARA REGISTROS DE POZOS                            Unidad
3546   74089163   SENSOR PARA CONTROL POR LA VISTA                           Unidad
3547   74089200   SERVIDOR                                                   Unidad
3548   74089350   SERVIDOR DE IMPRESION PARA RED                             Unidad
3549   74089368   SERVIDOR PARA ACCESO REMOTO                                Unidad
3550   74089387   SISTEMA DE ALMACENAMIENTO DE DISCOS EXTERNOS               Unidad
3551   74089406   SISTEMA DE AMINISTRACION DE COLAS                          Unidad
3552   74089415   SISTEMA DE CORRELACION DE EVENTOS - SIEM                   Unidad
3553   74089425   SISTEMA DE CORREO DE VOZ Y OPERADORA AUTOMATICA            Unidad
3554   74089446   SISTEMA DE PROTECCION DE CORREO ELECTRONICO ANTI-SPAM      Unidad
3555   74089475   SISTEMA GRABADOR DE DISCOS COMPACTOS                       Unidad
3556   74089481   SOLUCION DE ALMACENAMIENTO EXTERNO                         Unidad
3557   74089493   TABLETA PAD                                                Unidad
3558   74089500   TECLADO - KEYBOARD                                         Unidad
3559   74089556   TECLADO INALAMBRICO                                        Unidad
3560   74089612   TECLADO PARA NUMERO DE IDENTIFICACION PERSONAL - PIN PAD   Unidad
3561   74089668   TERMINAL DE CONSULTA INFOPOINT                             Unidad
3562   74089725   TERMINAL DE VOTACION ELECTRONICA                           Unidad
3563   74089837   TERMINAL PARA SISTEMAS MULTIUSUARIO                        Unidad
3564   74089893   TOTEM MULTIMEDIA                                           Unidad
3565   74089950   UNIDAD CENTRAL DE PROCESO - CPU                            Unidad
3566   74089956   UNIDAD CENTRAL DE PROCESO CON TECLADO INCORPORADO          Unidad
3567   74089962   UNIDAD DE ALMACENAMIENTO DE DISCOS EXTERNOS                Unidad
3568   74089975   UNIDAD DE ARREGLO DE DISCO - DISK ARRAY                    Unidad
3569   74089985   UNIDAD PARA COPIA DE SEGURIDAD - TAPE BACKUP EXTERNO       Unidad
3570   74089992   VIDEO CAMARA PARA COMPUTADORA                              Unidad
3571   74089995   VIDEO ESPECTRO COMPARADOR                                  Unidad

GRUPO GENÉRICO    74: OFICINA
CLASE             22: EQUIPO

 N°     CÓDIGO                                           DENOMINACIÓN        UNIDAD
3572   74220001   CAMARA MULTIESPECTRAL                                      Unidad
3573   74220002   ENGRAPADOR ELECTRICO                                       Unidad
3574   74220003   FIBROSCOPIO PARA DETECCION DE CONTRABANDO                  Unidad
3575   74220007   ABRIDORA DE SOBRES - EXTRACTORA DE CORRESPONDENCIA         Unidad
3576   74220013   AGENDA ELECTRONICA                                         Unidad
3577   74220025   ALIMENTADOR AUTOMATICO DE TRANSPARENCIAS                   Unidad
3578   74220037   BORRADOR ELECTRICO                                         Unidad
3579   74220050   CALCULADORA CIENTIFICA                                     Unidad
3580   74220184   CALCULADORA CIENTIFICA PARLANTE                            Unidad
3581   74220318   CALCULADORA ELECTRICA                                      Unidad
3582   74220585   CALCULADORA ELECTRONICA                                    Unidad
3583   74220719   CALCULADORA SOLAR (MAYOR A 1/4 UIT)                        Unidad
3584   74220786   CAMARA DE PRESENTACION DE IMAGEN - CAMARA DE DOCUMENTOS    Unidad
3585   74220853   CAMARA FOTOGRAFICA                                         Unidad
3586   74220897   CAMARA FOTOGRAFICA DIGITAL                                 Unidad
3587   74220942   CONTADOR ELECTRONICO DE BILLETES                           Unidad
3588   74221031   CONTADOR ELECTRONICO DE MONEDAS                            Unidad
3589   74221075   COORDINATOGRAFO                                            Unidad
3590   74221097   COPIADORA                                                  Unidad
3591   74221120   COPIADORA AMPLIADORA REDUCTORA                             Unidad
3592   74221388   COPIADORA DE PLANOS                                        Unidad
3593   74221522   DESGLOSADORA DE PAPEL CONTINUO                             Unidad
3594   74221555   DESTRUCTOR ELECTRICO DE INSECTOS                           Unidad
3595   74221588   DESTRUCTORA DE CD/DVD                                      Unidad
3596   74221655   DESTRUCTORA DE DOCUMENTOS                                  Unidad
3597   74221789   DETECTOR DE BILLETES FALSOS                                 Unidad
3598   74221923   DETECTOR DE METALES TIPO ARCO                               Unidad
3599   74222057   DETECTOR DE RAYOS X PARA SOBRES Y PAQUETES                  Unidad
3600   74222191   DETECTOR MANUAL DE METALES                                  Unidad
3601   74222258   DICCIONARIO TRADUCTOR ELECTRONICO PORTATIL                  Unidad
3602   74222291   DOBLADORA ENGRAPADORA                                       Unidad
3603   74222325   DUPLICADORA CON EDITOR INTELIGENTE - DUPLICADORA DIGITAL    Unidad
3604   74222358   EQUIPO MULTIFUNCIONAL COPIADORA IMPRESORA SCANNER Y/O FAX   Unidad
3605   74222391   EQUIPO TRADUCTOR DE IDIOMAS                                 Unidad
3606   74222458   FIJADORA DE MATRIZ ELECTROSTATICA                           Unidad
3607   74222726   FOTOCOPIADORA EN GENERAL                                    Unidad
3608   74222859   GAVETA ELECTRONICA PARA DINERO                              Unidad
3609   74222926   GRABADOR MARCADOR ELECTRICO                                 Unidad
3610   74222993   GUILLOTINA                                                  Unidad
3611   74223026   HORNO FUSER PARA LAMINAS EN RELIEVE                         Unidad
3612   74223060   LAPICERO ESCANER TRADUCTOR                                  Unidad
3613   74223127   LECTORA DE CHEQUES                                          Unidad
3614   74223194   MAGNIFICADOR DE IMAGEN                                      Unidad
3615   74223261   MAQUINA ANILLADORA PERFORADORA                              Unidad
3616   74223528   MAQUINA COMPAGINADORA                                       Unidad
3617   74223662   MAQUINA CONTADORA Y CLASIFICADORA DE VOTOS                  Unidad
3618   74223796   MAQUINA DE ESCRIBIR ELECTRICA                               Unidad
3619   74224064   MAQUINA DE ESCRIBIR ELECTRONICA                             Unidad
3620   74224331   MAQUINA DE ESCRIBIR MECANICA                                Unidad
3621   74224599   MAQUINA ESPIRALADORA                                        Unidad
3622   74224666   MAQUINA MECANICA PARA ESCRITURA EN BRAILLE                  Unidad
3623   74224733   MAQUINA PARA REDONDEAR BORDES - ESQUINERO                   Unidad
3624   74224866   MAQUINA PROCESADORA DE PLACAS ELECTROSTATICAS               Unidad
3625   74225134   MAQUINA REGISTRADORA                                        Unidad
3626   74225401   MAQUINA SUMADORA                                            Unidad
3627   74225434   MAQUINA TERMOCONFORMADO PARA REPRODUCIR EN BRAILLE          Unidad
3628   74225467   MARGINADOR                                                  Unidad
3629   74225534   MARGINADOR DE EXPOSICIONES                                  Unidad
3630   74225601   MESA DE DISECCION VIRTUAL                                   Unidad
3631   74225669   MIMEOGRAFO                                                  Unidad
3632   74225684   MINI CAMARA DE VIDEO TIPO BOTON                             Unidad
3633   74225689   MINI CAMARA DE VIDEO TIPO CORBATA                           Unidad
3634   74225694   MINI CAMARA DE VIDEO TIPO GORRA                             Unidad
3635   74225699   MINI CAMARA DE VIDEO TIPO LAPICERO                          Unidad
3636   74225714   MOLDEADORA DE BORDES Y PLIEGUES                             Unidad
3637   74225759   MOLDEADORA DE HOJAS                                         Unidad
3638   74225781   MONOCOMPARADOR                                              Unidad
3639   74225803   PANTALLA DE METAL PARA STENCIL                              Unidad
3640   74225869   PANTOGRAFO                                                  Unidad
3641   74225902   PERFORADORA DE TARJETAS                                     Unidad
3642   74225919   PERIFERICO CAPTURADOR DE IMAGEN PARA PIZARRA                Unidad
3643   74225936   PICADORA DE STENCIL ELECTRONICO                             Unidad
3644   74226070   PIZARRA DIGITAL INTERACTIVA                                 Unidad
3645   74226204   PIZARRA ELECTRONICA                                         Unidad
3646   74226472   PROTECTOGRAFO                                               Unidad
3647   74226739   PROTECTORA DE CHEQUES                                       Unidad
3648   74227007   PROYECTOR DE CUERPOS OPACOS - EPISCOPIO                     Unidad
3649   74227274   PROYECTOR DE DIAPOSITIVAS                                   Unidad
3650   74227542   PROYECTOR DE TRANSPARENCIAS                                 Unidad
3651   74227809   PUNTERO LASER (MAYOR A 1/4 UIT)                             Unidad
3652   74227943   QUEMADORA DE STENCIL                                        Unidad
3653   74228010   REDONDEADORA ELECTRICA DE ESQUINAS                          Unidad
3654   74228043   REFILADORA MANUAL                                           Unidad
3655   74228077   REFRENDADOR                                                 Unidad
3656   74228211   REGISTRADORA COMPUTARIZADA                                  Unidad
3657   74228345   REGISTRADORA ELECTROMECANICA                                Unidad
3658   74228612   RELOJ (OTROS)                                           Unidad
3659   74228880   RELOJ DE MESA                                           Unidad
3660   74229147   RELOJ DE PARED                                          Unidad
3661   74229415   RELOJ MARCADOR FECHADOR ELECTRONICO                     Unidad
3662   74229682   RELOJ MARCADOR FECHADOR MECANICO                        Unidad
3663   74229950   RETROPROYECTOR DE TRANSPARENCIAS                        Unidad
3664   74229975   ROTULADOR ELECTRICO DE DISCO                            Unidad
3665   74229987   SISTEMA DE RAYOS X DE DETECCION DE EXPLOSIVOS Y ARMAS   Unidad
3666   74229989   SURTIDOR DE AGUA ELECTRICO - DISPENSADOR ELECTRICO      Unidad
3667   74229991   TABLERO DIGITALIZADOR ELECTRONICO                       Unidad
3668   74229993   TABLETA GRAFICA INALAMBRICA PARA PIZARRA VIRTUAL        Unidad

GRUPO GENÉRICO    74: OFICINA
CLASE             64: MOBILIARIO

 N°     CÓDIGO                                           DENOMINACIÓN     UNIDAD
3669   74640050   ANFORA DE MADERA PARA SORTEO                            Unidad
3670   74640084   ANFORA DE MELAMINA PARA SORTEO                          Unidad
3671   74640118   ANFORA DE METAL PARA SORTEO                             Unidad
3672   74640186   ANFORA DE METAL Y MADERA PARA SORTEO                    Unidad
3673   74640219   ANFORA DE METAL Y MELAMINA PARA SORTEO                  Unidad
3674   74640253   ARAÑA EN GENERAL (MAYOR A 1/4 UIT)                      Unidad
3675   74640321   ARCHIVADOR DE MADERA                                    Unidad
3676   74640355   ARCHIVADOR DE MELAMINA                                  Unidad
3677   74640389   ARCHIVADOR DE METAL                                     Unidad
3678   74640423   ARCHIVADOR DE METAL CON CAJA DE SEGURIDAD               Unidad
3679   74640457   ARCHIVADOR DE METAL TIPO KARDEX                         Unidad
3680   74640525   ARCHIVADOR DE METAL Y MADERA                            Unidad
3681   74640558   ARCHIVADOR DE METAL Y MELAMINA                          Unidad
3682   74640575   ARMARIO COLGANTE DE MELAMINA                            Unidad
3683   74640592   ARMARIO DE MADERA                                       Unidad
3684   74640626   ARMARIO DE MELAMINA                                     Unidad
3685   74640660   ARMARIO DE METAL                                        Unidad
3686   74640728   ARMARIO DE METAL DE PUERTA ENROLLABLE                   Unidad
3687   74640796   ARMARIO DE METAL Y MADERA                               Unidad
3688   74640804   ARMARIO DE METAL Y MELAMINA                             Unidad
3689   74640813   ARMARIO DE OTRO MATERIAL                                Unidad
3690   74640830   ATRIL (OTROS)                                           Unidad
3691   74640864   ATRIL DE MADERA                                         Unidad
3692   74640932   ATRIL DE MADERA PARA MAQUINA DE ESCRIBIR                Unidad
3693   74640948   ATRIL DE MELAMINA                                       Unidad
3694   74640965   ATRIL DE METAL                                          Unidad
3695   74640999   ATRIL DE METAL CON MANDO ELECTRICO                      Unidad
3696   74641067   ATRIL MECANICO DE METAL                                 Unidad
3697   74641101   BANCA (OTRAS)                                           Unidad
3698   74641118   BANCA DE ASIENTOS MULTIPLES                             Unidad
3699   74641135   BANCA DE MADERA                                         Unidad
3700   74641203   BANCA METALICA                                          Unidad
3701   74641271   BANCO DE MADERA                                         Unidad
3702   74641338   BANCO METALICO                                          Unidad
3703   74641355   BANDEJERO PARA SECADO DE PAPEL                          Unidad
3704   74641372   BANQUETA PARA TOCADOR                                   Unidad
3705   74641406   BAR RODANTE DE MADERA                                   Unidad
3706   74641440   BAR RODANTE DE MELAMINA                                 Unidad
3707   74641474   BAR RODANTE DE METAL                                    Unidad
3708   74641542   BIBLIOTECA DE MADERA                                    Unidad
3709   74641564   BIBLIOTECA DE MELAMINA                                  Unidad
3710   74641586   BIOMBO DE MELAMINA                                      Unidad
3711   74641631   BIOMBO DE POLICARBONATO                                 Unidad
3712   74641677   BUZON DE METAL                                          Unidad
3713   74641745   CABINA - CASETA                                         Unidad
3714   74641779   CABINA DE INTERNET - TELECABINAS          Unidad
3715   74641813   CAJA DE METAL                             Unidad
3716   74641847   CAJA DE SEGURIDAD                         Unidad
3717   74641881   CAJA FUERTE                               Unidad
3718   74641903   CAJONERA RODABLE DE MADERA                Unidad
3719   74641925   CAJONERA RODABLE DE MELAMINA              Unidad
3720   74641937   CAJONERA RODABLE DE METAL                 Unidad
3721   74641949   CAMA CUNA DE MADERA                       Unidad
3722   74642016   CAMA CUNA DE METAL                        Unidad
3723   74642084   CAMA CUNA DE METAL Y MADERA               Unidad
3724   74642152   CAMA DE MADERA                            Unidad
3725   74642220   CAMAROTE DE MADERA                        Unidad
3726   74642288   CAMAROTE DE METAL                         Unidad
3727   74642355   CARPETA DE MADERA PARA DOS PERSONAS       Unidad
3728   74642423   CARPETA DE MADERA UNIPERSONAL             Unidad
3729   74642491   CARPETA DE METAL MULTIPLE                 Unidad
3730   74642559   CARPETA DE METAL UNIPERSONAL              Unidad
3731   74642627   CARPETA MULTIPLE DE MADERA                Unidad
3732   74642695   CARRO DE MADERA TRANSPORTADOR             Unidad
3733   74642762   CARRO DE METAL TRANSPORTADOR              Unidad
3734   74642796   CARRO TRANSPORTADOR (OTROS)               Unidad
3735   74642830   CASILLERO DE MADERA                       Unidad
3736   74642864   CASILLERO DE MELAMINA                     Unidad
3737   74642898   CASILLERO DE METAL - LOCKER               Unidad
3738   74642932   CASILLERO DE PLASTICO ABS - LOCKER        Unidad
3739   74642966   CENICERO DE PIE (MAYOR A 1/4 UIT)         Unidad
3740   74643034   CINTOTECA                                 Unidad
3741   74643067   COMODA (OTROS)                            Unidad
3742   74643101   COMODA DE MADERA                          Unidad
3743   74643135   COMODA DE MELAMINA                        Unidad
3744   74643169   CONSOLA DE MADERA                         Unidad
3745   74643186   CONSOLA DE MELAMINA                       Unidad
3746   74643203   CONSOLA DE METAL                          Unidad
3747   74643237   CREDENZA DE MADERA                        Unidad
3748   74643271   CREDENZA DE MELAMINA                      Unidad
3749   74643305   CREDENZA DE METAL                         Unidad
3750   74643373   CREDENZA DE METAL Y MADERA                Unidad
3751   74643378   CREDENZA DE METAL Y MELAMINA              Unidad
3752   74643384   CREDENZA ESTANTE DE MADERA                Unidad
3753   74643389   CREDENZA ESTANTE DE MELAMINA              Unidad
3754   74643395   ESCALERA (OTRAS)                          Unidad
3755   74643417   ESCALERA DE FIBRA DE VIDRIO TIPO TIJERA   Unidad
3756   74643440   ESCALERA DE MADERA                        Unidad
3757   74643508   ESCALERA DE MADERA TIPO TIJERA            Unidad
3758   74643576   ESCALERA METALICA                         Unidad
3759   74643644   ESCALERA METALICA TIPO TIJERA             Unidad
3760   74643712   ESCRITORIO DE MADERA                      Unidad
3761   74643745   ESCRITORIO DE MELAMINA                    Unidad
3762   74643779   ESCRITORIO DE METAL                       Unidad
3763   74643847   ESCRITORIO DE METAL Y MADERA              Unidad
3764   74643881   ESCRITORIO DE METAL Y MELAMINA            Unidad
3765   74643898   ESQUINERO DE MELAMINA                     Unidad
3766   74643915   ESTAFETA DE MADERA                        Unidad
3767   74643983   ESTANDARTE                                Unidad
3768   74644016   ESTANTE ARCHIVADOR DE MADERA              Unidad
3769   74644033   ESTANTE ARCHIVADOR DE MELAMINA            Unidad
3770   74644050   ESTANTE CORREDIZO - ESTANTE MOVIL         Unidad
3771   74644118   ESTANTE DE MADERA                         Unidad
3772   74644152   ESTANTE DE MELAMINA                       Unidad
3773   74644186   ESTANTE DE METAL                          Unidad
3774   74644254   ESTANTE DE METAL Y MADERA                 Unidad
3775   74644288   ESTANTE DE METAL Y MELAMINA                              Unidad
3776   74644322   ESTANTE ESCRITORIO                                       Unidad
3777   74644356   EXHIBIDOR DE PUBLICACIONES                               Unidad
3778   74644390   FICHERO DE MADERA                                        Unidad
3779   74644458   FICHERO DE METAL                                         Unidad
3780   74644474   GABINETE DE MADERA                                       Unidad
3781   74644482   GABINETE DE MELAMINA                                     Unidad
3782   74644491   GABINETE DE METAL                                        Unidad
3783   74644525   LIBRERO DE MADERA                                        Unidad
3784   74644542   LIBRERO DE MELAMINA                                      Unidad
3785   74644559   LIBRERO DE METAL                                         Unidad
3786   74644593   MALETAS EN GENERAL (MAYOR A 1/4 UIT)                     Unidad
3787   74644661   MALETIN (MAYOR A 1/4 UIT)                                Unidad
3788   74644729   MAMPARA DE MADERA                                        Unidad
3789   74644763   MAMPARA DE MELAMINA                                      Unidad
3790   74644797   MAMPARA DE METAL                                         Unidad
3791   74644842   MESA (OTRAS)                                             Unidad
3792   74644887   MESA DE FIBRA DE VIDRIO                                  Unidad
3793   74644932   MESA DE MADERA                                           Unidad
3794   74645000   MESA DE MADERA PARA DIBUJO                               Unidad
3795   74645033   MESA DE MADERA PARA MONTAJE                              Unidad
3796   74645050   MESA DE MADERA Y METAL                                   Unidad
3797   74645056   MESA DE MELAMINA                                         Unidad
3798   74645062   MESA DE MELAMINA PARA DIBUJO                             Unidad
3799   74645068   MESA DE METAL                                            Unidad
3800   74645102   MESA DE METAL CON PLATOS GIRATORIOS PARA REBOBINADO      Unidad
3801   74645136   MESA DE METAL PARA DIBUJO                                Unidad
3802   74645170   MESA DE METAL PARA MONTAJE                               Unidad
3803   74645186   MESA DE METAL Y MELAMINA                                 Unidad
3804   74645203   MESA DE REUNIONES                                        Unidad
3805   74645237   MESA DE SUCCION                                          Unidad
